algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/dynamicTTT,/Nordsec16/client_097e.dot,3,10,1,40,1,41,2004-10-25 11:24:39
mealy/TTT,/Nordsec16/client_097e.dot,3,10,1,24,1,38,2004-10-25 11:24:39
mealy/dynamicTTT,/Nordsec16/client_098f.dot,3,10,1,32,1,38,2007-10-11 18:23:17
mealy/TTT,/Nordsec16/client_098f.dot,3,10,1,24,1,35,2007-10-11 18:23:17
mealy/dynamicTTT,/Nordsec16/client_098j.dot,20,10,8,209,1,290,2009-01-07 10:50:54
mealy/TTT,/Nordsec16/client_098j.dot,20,10,8,209,1,148,2009-01-07 10:50:54
mealy/dynamicTTT,/Nordsec16/client_098l.dot,18,10,3,283,1,122,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/client_098l.dot,18,10,9,221,1,135,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/client_098m.dot,19,10,1,280,1,130,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/client_098m.dot,19,10,7,188,1,112,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/client_098za.dot,12,10,1,189,1,69,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/client_098za.dot,12,10,5,116,1,68,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,1,189,1,65,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,1,63,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_101.dot,19,10,1,254,1,101,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/client_102.dot,12,10,1,116,1,63,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/client_102.dot,12,10,5,116,1,62,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,1,116,1,60,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,1,65,2015-12-10 14:23:10
